Post Source;Post URL;Username;Comment;clean_text
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;ppiorenty;Mau nanya? Bener ya bus 3L berhenti beroperasi dari 1 Jan?? Padahal sangat membantu sekali bus ini, kalo pake yg bus unair, agak lama perjalannya 😢;nanya bener ya bus l berhenti beroperasi jan membantu bus kalo pake yg bus unair perjalannya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;rahmatismee;aneh malah off malam tahun baru;aneh off malam
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;chandrasapoetra;karyawane gorong mulih, transportasi umume wes parkir 😂;karyawane gorong mulih transportasi umume wes parkir
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;surabayabertaqwa;Aduh, anak bojoku pole numpak lyn 😢;aduh anak bojoku pole numpak lyn
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;tangprtma;gokil, bukannya ditambahin malah dikurangi;gokil ditambahin dikurangi
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;nurii.fauziyahh;Astagaaaaanaga 👏👏👏 gebrakannya terlalu dar der dor;astagaaaaanaga gebrakannya dar der dor
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;fadyaaaj;kok malah di nerf;nerf
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;alkhasaja;Bis transjatim apa masih bisa beroperasi min;bis transjatim beroperasi min
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;ndarboimen;Haha, nggak ditambah malah dikurangi 😁;haha nggak ditambah dikurangi
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;arysuryaksw;ur so incompetent;ur so incompetent
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;arysuryaksw;WHAT;what
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;arymudjihariyati;@andnriani hayoo lo km pulang naik apa bis terakhir jam 16🤭;hayoo lo km pulang bis jam
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;clowoly;Isin karo title kota terbesar kedua;isin title kota terbesar
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;0_0raraaa;Ga bisa di tracking mobilnya;ga tracking mobilnya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;0_0raraaa;Kok di aplikasi gobus ga bisa liat titik mobil nya dmn ya? Jadinya libur kah ini ww?;aplikasi gobus ga liat titik mobil nya dmn ya libur kah ww
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;nuroh02;Saya cek di aplikasi gobis kok ga ada pregerakan wira wiri ya , apa pagi belum ada? Biasanya ada;cek aplikasi gobis ga pregerakan wira wiri ya pagi
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;redita.df;bjir pas orang2 lagi banyak yg ke luar rumah malah dikurangi jam operasionalnya;bjir pas orang yg rumah dikurangi jam operasionalnya
FDTS;https://www.instagram.com/p/DS4BM8NjwYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;wirajinskali;Dishub tolol;dishub tolol
